total_reward,mean_reward,loss,mae,mean_q
210.0946109899373,0.18741713736836513,40.300074, 9.939954, 13.822586
255.78022811034504,0.25501518256265704,8.738264, 6.167148, 10.382083
96.6453276365153,0.08225134266937473,0.694400, 0.483045, 0.794423
84.38661350705398,0.07991156582107384,0.192856, 0.481028, 0.942286
560.4987127859416,0.5826389945799809,0.080892, 0.493331, 0.945165
459.21168059322133,0.3836354892173946,0.079371, 0.593357, 1.187999
662.2261485118942,0.6970801563283097,0.096088, 0.703719, 1.301237
493.63562387906507,0.42227170562794275,0.111210, 0.858981, 1.431057
401.6674920987914,0.39887536454696265,0.121538, 1.025734, 1.452509
259.6807129016751,0.26310102624283194,0.113905, 1.043683, 1.365624
647.9478031811911,0.6770614453303982,0.106038, 1.000395, 1.475142
654.3271940363577,0.6459301027012415,0.103371, 1.063068, 1.617551
531.458563763137,0.4736707341917442,0.104645, 1.129792, 1.691413
569.9942243799803,0.5544690898637941,0.107310, 1.210842, 1.759698
232.50921920648278,0.19975018832172062,0.113129, 1.261823, 1.718630
199.09015812513718,0.20377702981078524,0.110485, 1.206757, 1.585276
541.639488643129,0.5647961299719801,0.107544, 1.174777, 1.526878
596.3033914554414,0.6488611441299689,0.109588, 1.151980, 1.508617
521.909598893036,0.49470104160477346,0.109526, 1.136881, 1.532808
563.4815256941847,0.6026540381755986,0.114889, 1.170082, 1.555217
407.70477018501197,0.3719934034534781,0.115971, 1.220227, 1.632535
498.3840241622102,0.45891714932063554,0.112402, 1.207081, 1.699780
555.5277269471347,0.5960597928617326,0.115411, 1.247960, 1.728839
488.43147014387364,0.47145894801532207,0.116089, 1.271600, 1.744248
497.8667264993577,0.5039136907888235,0.116801, 1.294236, 1.735529
299.31188654731955,0.27234930532058194,0.115099, 1.265276, 1.639949
139.30559066586443,0.14867192173518082,0.108871, 1.190499, 1.579512
630.5018872953323,0.6050881835847719,0.105897, 1.143144, 1.564478
576.1004970329845,0.5860635778565458,0.105350, 1.134401, 1.564692
521.5801881267391,0.513872106528807,0.105314, 1.137514, 1.586288
524.671353044196,0.5552077809991492,0.110565, 1.176218, 1.601686
499.2373200221056,0.45098222224219114,0.113832, 1.223186, 1.635670
621.3293515852876,0.6194709387689806,0.112197, 1.251629, 1.738206
448.55255304551076,0.45584609049340524,0.113277, 1.293090, 1.783808
659.0510515337785,0.6544697631914385,0.114330, 1.313525, 1.813422
461.00167383480573,0.46660088444818393,0.117419, 1.357643, 1.844770
151.88752835579731,0.13683561113134893,0.119791, 1.348785, 1.737020
315.3189839373813,0.28613337925352206,0.113560, 1.253929, 1.627293
496.69426610625413,0.46290239152493395,0.109970, 1.193265, 1.558812
514.297537254393,0.45960459093332706,0.106862, 1.150329, 1.486174
500.236400740356,0.5299114414622415,0.104796, 1.089268, 1.414295
293.1287352434685,0.30790833533977785,0.112052, 1.093936, 1.441308
166.34385075561102,0.1688770058432599,0.111377, 1.099003, 1.422988
474.5345991095926,0.41809215780580844,0.109826, 1.074934, 1.408830
605.3150199593822,0.6453251811933712,0.109029, 1.050718, 1.411870
548.2518344491344,0.5034452106970931,0.111398, 1.082778, 1.469870
199.141897015901,0.17892353730089938,0.109603, 1.079081, 1.418774
453.358023787471,0.4484253449925529,0.112685, 1.076204, 1.422376
455.9459627940369,0.39271831420675013,0.111158, 1.080594, 1.478080
483.9684587225694,0.4864004610277079,0.110122, 1.107310, 1.447437
554.1129819933126,0.515933875226548,0.111373, 1.104569, 1.444922
378.11162388323226,0.3842597803691385,0.113662, 1.120380, 1.484220
382.3858519682066,0.4197429769135089,0.112787, 1.107892, 1.467033
535.4045937948111,0.5446638797505708,0.110297, 1.088673, 1.504303
447.35580879328296,0.40448083977692856,0.109219, 1.124029, 1.603005
454.23324378729995,0.3995015336739665,0.110259, 1.159462, 1.606934
345.9751095299202,0.321239656016639,0.113486, 1.171325, 1.571047
109.55535718584615,0.10315947004316964,0.109509, 1.125498, 1.484393
217.39468294326264,0.21229949506177992,0.095970, 1.019130, 1.312238
290.1046042150736,0.27921521098659635,0.088990, 0.930888, 1.197462
418.8152345422294,0.38317953755007267,0.086593, 0.880269, 1.141387
436.36680252541265,0.4512583273272106,0.091865, 0.856044, 1.098698
423.46699448839007,0.44528600892575193,0.101385, 0.879179, 1.161216
528.8112745022828,0.5843218502787655,0.109876, 0.925144, 1.239183
467.1130929643251,0.4333145574808211,0.112845, 0.971899, 1.368528
576.3549731813847,0.6354520101228056,0.113956, 1.053960, 1.465313
588.4991502129144,0.644577382489501,0.110868, 1.113699, 1.591628
396.35242348111603,0.3646296444168501,0.111243, 1.194634, 1.673813
466.6240690904475,0.48354825812481605,0.117093, 1.237347, 1.668808
341.70419837079663,0.34170419837079663,0.116811, 1.224493, 1.657006
568.257898260856,0.5232577332052081,0.114395, 1.217178, 1.702201
539.325911433856,0.5537227016774703,0.114634, 1.227900, 1.696132
544.2853225195722,0.4604782762432929,0.113482, 1.240727, 1.686807
562.5138698377579,0.5232687161281468,0.112129, 1.239265, 1.707502
431.92710595536647,0.37591567097943124,0.111881, 1.241245, 1.714041
395.4599515141822,0.33857872561145735,0.108791, 1.201060, 1.655749
553.5009342950023,0.4933163407263835,0.108887, 1.185586, 1.638066
467.0599991772631,0.4942433853727652,0.112154, 1.197505, 1.589548
434.50722397211933,0.40157784100935245,0.112486, 1.174212, 1.569156
542.0680585767259,0.5503229021083511,0.112155, 1.144197, 1.544811
288.3266988337456,0.29182864254427693,0.111829, 1.149528, 1.571486
524.0208679363024,0.48341408481208703,0.110159, 1.144392, 1.608421
474.5570137658158,0.43457601993206574,0.110878, 1.170520, 1.610132
450.20641033844737,0.47945304615383105,0.110498, 1.142861, 1.572275
336.0473876300289,0.33705856331998885,0.111598, 1.156019, 1.546511
510.3553031597126,0.5118909760879765,0.110084, 1.138638, 1.559220
614.3056618217182,0.6313521704231431,0.109169, 1.132929, 1.612141
400.8791393866694,0.34292484122041866,0.111692, 1.169590, 1.677220
314.1336426006244,0.30351076579770475,0.115783, 1.196623, 1.615367
598.6432422188288,0.5647577756781405,0.114623, 1.186940, 1.605394
570.787154264594,0.5914892790306674,0.114778, 1.189781, 1.634990
278.68494478038264,0.2394200556532497,0.110803, 1.162616, 1.579163
561.7435309034576,0.5355038426153075,0.109069, 1.150648, 1.598328
556.6209219885944,0.4921493563117546,0.110819, 1.183631, 1.634968
423.8796073681693,0.37117303622431636,0.112624, 1.189838, 1.641761
296.5688134364055,0.29627254089551,0.111451, 1.151035, 1.526050
284.7095672113209,0.3111579969522633,0.109736, 1.109562, 1.490663
595.5535965286501,0.6494586657891496,0.107049, 1.097970, 1.522362
635.897054876904,0.6010369138723101,0.107545, 1.118326, 1.559746
230.96681698999765,0.2524227508087406,0.106413, 1.107123, 1.529169
516.8410272046033,0.5107124774749044,0.108929, 1.138502, 1.586041
487.37049867498604,0.40614208222915504,0.109239, 1.171588, 1.641693
488.4486350622605,0.47376201266950585,0.108939, 1.180085, 1.641830
589.0476714272669,0.5615325752404832,0.109068, 1.197747, 1.640726
495.7793421069641,0.4159222668682585,0.110204, 1.236773, 1.660207
539.1926068210206,0.5657844772518579,0.110734, 1.229769, 1.667372
306.7598242097027,0.2798903505562981,0.111080, 1.209763, 1.641988
86.10205470357982,0.07352865474259593,0.107763, 1.169573, 1.546876
484.7934044707057,0.4852786831538596,0.102901, 1.107585, 1.441387
428.7472275475963,0.35998927585860313,0.102304, 1.067268, 1.377793
585.5726459883465,0.5902950060366396,0.101476, 1.022384, 1.327432
348.5823247401519,0.37043817719463534,0.103396, 0.996932, 1.343769
396.67174744556723,0.3491828762725064,0.107432, 1.036284, 1.425838
544.0325934581272,0.4587121361367008,0.107153, 1.053014, 1.498633
491.4893419908283,0.487588632927409,0.113026, 1.112379, 1.506206
526.9425846379513,0.5091232701815954,0.112883, 1.119289, 1.524713
191.29610441192355,0.16048330907040567,0.113184, 1.118652, 1.467472
93.96543298324912,0.08397268363114309,0.104510, 1.062961, 1.382645
273.45611017619007,0.2686209333754323,0.095234, 0.972739, 1.248432
493.86672289350213,0.48465821677478127,0.094474, 0.927728, 1.202506
201.38088178339132,0.17758455183720576,0.084333, 0.852610, 1.094261
154.9541314220985,0.15763390785564446,0.081693, 0.792107, 1.051431
257.0830722060209,0.21513227799667023,0.085350, 0.764456, 1.049650
529.3671923397133,0.4825589720507869,0.087862, 0.758861, 1.090097
470.8694387493764,0.4657462302169895,0.089622, 0.768977, 1.113270
458.58547719077666,0.41613927149798247,0.099421, 0.792584, 1.189148
247.81494382250074,0.22882266280932662,0.104239, 0.835359, 1.206542
499.9719999126136,0.4779847035493438,0.109402, 0.891515, 1.258439
582.9016985752162,0.6181354173650224,0.108765, 0.901878, 1.324325
