122,211,9,31,
329,24,246,114,
538,51,285,154,
721,94,365,237,
790,228,370,291,
931,289,312,292,
946,274,305,272,
947,220,293,234,
813,134,279,245,
597,131,228,205,
111,101,114,98,
321,144,142,86,
599,181,163,113,
767,158,262,212,
905,266,250,265,
998,227,317,315,
985,383,261,218,
897,170,413,223,
895,172,144,242,
632,135,217,188,
136,48,181,14,
302,113,240,69,
583,156,231,122,
839,138,260,180,
890,263,351,211,
988,125,431,283,
960,363,230,290,
1007,354,113,228,
918,53,298,138,
699,95,163,151,
158,39,174,52,
270,88,196,98,
588,191,186,132,
728,187,254,184,
818,195,414,223,
959,219,386,282,
966,298,285,272,
968,365,192,207,
867,116,222,235,
677,151,222,87,
210,86,80,40,
402,82,135,55,
676,116,190,105,
794,182,275,140,
833,316,279,210,
955,88,509,299,
1001,492,130,240,
908,243,288,288,
879,94,294,182,
709,87,202,111,
176,36,113,84,
315,91,173,113,
501,185,181,167,
730,232,251,189,
859,239,357,214,
955,248,354,275,
983,332,218,277,
957,131,332,272,
666,228,325,204,
529,185,293,174,
153,94,126,60,
252,144,137,138,
519,119,219,158,
725,207,293,185,
904,244,365,177,
945,249,382,271,
1233,241,127,271,
558,306,548,237,
816,217,141,231,
747,142,126,133,
166,54,80,82,
367,43,188,112,
633,66,246,120,
875,94,287,173,
930,122,357,266,
952,232,386,220,
971,231,329,248,
938,237,227,243,
860,165,229,211,
647,144,267,112,
190,34,143,48,
328,84,230,42,
582,79,264,88,
803,128,321,154,
858,282,309,245,
938,238,326,283,
1000,353,187,286,
983,179,304,270,
867,223,215,172,
724,112,91,199,
252,15,16,101,
492,78,54,122,
651,101,81,176,
780,151,188,247,
863,202,307,258,
