server,bus1,bus2,bus3
761,92,29,32,
835,128,31,28,
881,200,30,45,
802,67,10,64,
835,31,16,139,
779,21,21,102,
783,38,22,92,
813,30,50,97,
849,32,100,170,
799,77,45,98,
850,103,61,25,
871,169,55,29,
810,109,38,22,
811,178,21,22,
867,177,53,19,
776,39,71,19,
837,69,89,26,
859,125,169,20,
899,89,168,25,
815,56,166,22,
787,34,101,23,
834,60,146,31,
884,63,218,28,
875,95,158,40,
892,50,169,69,
760,25,82,49,
859,30,90,133,
797,18,79,114,
808,32,64,101,
804,30,36,108,
757,22,49,72,
801,37,56,40,
825,30,98,102,
852,25,129,83,
846,34,99,122,
882,27,168,118,
869,28,153,114,
865,22,128,75,
816,23,84,93,
815,37,52,69,
819,35,56,112,
780,23,79,50,
885,20,130,154,
864,30,126,102,
762,19,101,44,
846,22,145,17,
793,24,90,36,
803,19,95,71,
757,30,77,46,
807,17,110,31,
887,39,189,31,
793,29,91,24,
824,35,144,34,
863,27,109,140,
871,33,173,99,
783,26,51,67,
844,24,25,143,
878,37,36,234,
886,25,38,251,
820,30,19,145,
884,30,23,205,
823,27,24,139,
842,40,26,151,
865,147,36,140,
879,122,27,151,
890,240,31,37,
878,216,41,48,
794,98,22,32,
794,131,16,17,
868,171,35,27,
815,112,23,29,
860,146,90,29,
826,70,72,20,
866,163,96,32,
801,43,90,26,
815,83,37,37,
852,157,49,89,
811,164,23,35,
813,73,20,64,
828,99,26,66,
854,123,62,93,
966,161,25,26,
700,99,24,128,
827,121,31,38,
793,86,27,54,
831,188,29,46,
873,190,30,52,
810,117,37,38,
876,64,121,124,
898,21,215,64,
821,24,24,120,
836,37,23,148,
877,23,36,224,
851,27,47,263,
782,15,26,83,
867,23,73,151,
834,32,67,129,
863,25,25,171,
774,21,27,99,
880,41,35,214,
870,34,28,210,
889,35,32,223,
846,23,62,147,
842,22,39,121,
813,50,26,77,
887,110,28,171,
791,57,22,77,
891,218,30,46,
874,215,23,53,
880,151,34,102,
776,122,18,26,
861,229,30,36,
865,166,32,25,
886,203,53,35,
887,136,118,21,
894,223,39,25,
844,141,31,27,
851,175,33,20,
843,123,47,24,
870,117,130,36,
897,179,95,26,
782,70,20,73,
